reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2021,1(c),11.1387,45.0593,Carbon monoxide (CO),776628.0,367.66839201636236,0,1,0,0,0,0,0,0
2023,5(d),11.4875,44.7325,Methane (CH4),433365.0,325.0546245199025,0,0,0,0,0,0,0,1
2023,1(c),7.7516,45.1622,Nitrogen oxides (NOX),197975.0,526.7586534673983,0,1,0,0,0,0,0,0
2023,7(a),7.5942,44.4036,Ammonia (NH3),19885.0,485.1058054678555,0,0,1,0,0,0,0,0
2024,7(a),7.8717,44.6757,Ammonia (NH3),10707.0,484.8166233348727,0,0,1,0,0,0,0,0
2024,3(c),16.6569,40.6753,Carbon monoxide (CO),515921.4,373.3984326170081,0,0,0,1,0,0,0,0
2024,6(b),13.0739,46.2325,Lead and compounds (as Pb),231.55,483.64256280003474,0,0,0,0,0,1,0,0
2023,5(d),17.670556,40.428333,Methane (CH4),1301275.0,463.0183261587223,0,0,0,0,0,0,0,1
2021,7(a),10.8008,44.9797,Ammonia (NH3),11480.0,368.48369206998126,0,0,1,0,0,0,0,0
2021,2(b),17.1999,40.5167,Non-methane volatile organic compounds (NMVOC),103170.0,422.49503361756746,0,0,0,0,0,0,1,0
2021,7(a)(i),7.3541,44.4521,Ammonia (NH3),10688.0,504.0487618074092,0,0,1,0,0,0,0,0
2024,2(b),10.2158,45.4875,Carbon monoxide (CO),752778.0,438.6997601875964,0,0,0,0,0,0,1,0
2023,1(a),15.219444,37.135556,Zinc and compounds (as Zn),2085.757,579.1857861069731,0,1,0,0,0,0,0,0
2022,3(c),9.024167,39.469722,Carbon dioxide (CO2),207554000.0,398.5698826322054,0,0,0,1,0,0,0,0
2021,3(e),12.2592,45.4644,Nitrogen oxides (NOX),682040.0,396.4903506366455,0,0,0,1,0,0,0,0
2024,7(a),10.9375,45.2319,Ammonia (NH3),11750.0,390.88393961760613,0,0,1,0,0,0,0,0
2022,3(c),9.4667,45.6847,Ammonia (NH3),17510.0,485.68689503915584,0,0,0,1,0,0,0,0
2024,7(a),11.89402,44.60484,Ammonia (NH3),25313.0,304.3852545470102,0,0,1,0,0,0,0,0
2023,2(e),9.8839,45.8656,Mercury and compounds (as Hg),25.45,487.7848023077205,0,0,0,0,0,0,1,0
2024,3(e),12.0833,42.9667,Nitrogen oxides (NOX),356630.0,123.06167547132851,0,0,0,1,0,0,0,0
2022,1(c),11.2511,45.0297,Carbon dioxide (CO2),761288100.0,361.9154505330853,0,1,0,0,0,0,0,0
2024,9(c),9.3333,45.5667,Hydro-fluorocarbons (HFCS),177.0,480.07797140875863,0,0,0,0,1,0,0,0
2022,1(c),11.5833,44.8499,Nitrogen oxides (NOX),264165.6,335.9030476325577,0,1,0,0,0,0,0,0
2024,3(c),9.7186,45.0497,Sulphur oxides (SOX),193060.0,415.4886311061949,0,0,0,1,0,0,0,0
2024,7(a),10.5275,45.2553,Ammonia (NH3),32635.0,405.08217932930353,0,0,1,0,0,0,0,0
2021,5(d),10.8039,43.5667,Methane (CH4),1189400.0,230.94139994534785,0,0,0,0,0,0,0,1
2024,3(c),9.4667,45.6847,Ammonia (NH3),22440.3,485.68689503915584,0,0,0,1,0,0,0,0
2024,7(a),12.427167,45.895611,Ammonia (NH3),10075.0,444.0149251284294,0,0,1,0,0,0,0,0
